title,Make,Model,Year,mileage,Transmission,City,Color,Price,Image,mileage_numerical,price_numerical
Used Renault Logan 2014 for sale Shobra,Renault,Logan,2014,"278,000 Km",manual,Shobra,Gray,"287,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6896669/full_up_49b52fd6f597ff6beb03bcf32ea9384c.jpg"")",278000.0,287000.0
Used Renault Logan 2021 for sale 6 October,Renault,Logan,A/T /  E2,2021,"91,000 Km",automatic,6 October,"570,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/01/29/6894150/full_up_02e4b1048e25ad85abd89400b22db8ee.jpg"")",2021.0,570000.0
Used Renault Logan 2019 for sale Heliopolis,Renault,Logan,Automatic / E2,2019,"122,000 Km",automatic,Heliopolis,"575,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6897034/full_up_01313d71c3469e0987132283665e42c7.jpg"")",2019.0,575000.0
Used Renault Logan 2016 for sale Nasr city,Renault,Logan,2016,"100,000 Km",manual,Nasr city,White,"345,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6896946/full_up_4827751e152a55e17c4a8ae2fd5bacae.jpg"")",100000.0,345000.0
Used Renault Logan 2019 for sale Tagamo3 - New Cairo,Renault,Logan,Automatic / E2,2019,"100,000 Km",automatic,Tagamo3 - New Cairo,"560,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6897068/full_up_aa2c5cb48c695f6c58835d286555f9e8.jpg"")",2019.0,560000.0
Used Renault Logan  for sale Cairo,Renault,Logan,2015,"258,000 Km",manual,Cairo,Black,"310,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6896674/full_up_144e860bfdb4113be97d124b0729bfe4.jpg"")",258000.0,310000.0
Used Renault Logan 2015 for sale 6 October,Renault,Logan,2015,"264,897 Km",manual,6 October,Beige,"310,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6896900/full_up_278f42cbc99f8db60e1482d59d3984f6.jpg"")",264897.0,310000.0
Used Renault Logan 2016 for sale Hurghada,Renault,Logan,2016,"320,000 Km",automatic,Hurghada,Black,"320,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6897088/full_up_c1cbe48449e0a50e9e9be698a43bd95a.jpg"")",320000.0,320000.0
Used Renault Logan 2020 for sale Cairo,Renault,Logan,M/T / E1,2020,"110,000 Km",manual,Cairo,"445,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6897132/full_up_44eb1eb356ed6491cab263985a1ce0d2.jpg"")",2020.0,445000.0
Used Renault Logan 2020 for sale Heliopolis,Renault,Logan,A/T / E1,2020,"137,000 Km",automatic,Heliopolis,"575,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6897027/full_up_5d6ceb3187b6ca9e5489bf7d2e6bee93.jpg"")",2020.0,575000.0
Used Renault Logan 2011 for sale 6 October,Renault,Logan,2011,"238,000 Km",manual,6 October,Red,"260,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/02/6897239/full_up_ad9e07df108e554cf92c1cd4f29d954b.jpg"")",238000.0,260000.0
Used Renault Logan 2014 for sale El Salam City,Renault,Logan,2014,"150,000 Km",manual,El Salam City,Silver,"370,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/03/6897591/full_up_31868ebc90f006a969c431543c56c9e9.jpg"")",150000.0,370000.0
Used Renault Logan 2015 for sale Giza,Renault,Logan,2015,"100,000 Km",automatic,Giza,Blue,"560,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/03/6897743/full_up_0b3954a2a9fa535bd8cad6d9093a4f71.jpg"")",100000.0,560000.0
Used Renault Logan 2010 for sale Cairo,Renault,Logan,2010,"122,000 Km",manual,Cairo,Gray,"290,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/05/6899495/full_up_e41f51f33ead2c3e81417863a209de1e.jpg"")",122000.0,290000.0
